"","exists","weblink_au"
"79",TRUE,"https://wikipedia.org/wiki/United_Nations_Statistics_Division"
"80",FALSE,"https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy"
"81",FALSE,"https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy"
"82",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific"
"83",FALSE,"https://wikipedia.org/wiki/UNGCA"
"84",TRUE,"https://wikipedia.org/wiki/GRI"
"85",TRUE,"https://wikipedia.org/wiki/United_Nations_Statistics_Division"
"86",TRUE,"https://wikipedia.org/wiki/UNITAR"
"87",TRUE,"https://wikipedia.org/wiki/MI"
"88",TRUE,"https://wikipedia.org/wiki/United_Nations_Statistics_Division"
"89",FALSE,"https://wikipedia.org/wiki/SDG_Lab"
"90",TRUE,"https://wikipedia.org/wiki/UNOG"
"91",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"92",TRUE,"https://wikipedia.org/wiki/United_Nations_Statistics_Division"
"93",FALSE,"https://wikipedia.org/wiki/SDG_Academy"
"94",FALSE,"https://wikipedia.org/wiki/Statistical_Institute_for_Asia_and_the_Pacific"
"95",TRUE,"https://wikipedia.org/wiki/UNSSC"
"96",FALSE,"https://wikipedia.org/wiki/OECD_PCSD"
"97",FALSE,"https://wikipedia.org/wiki/LKYSPP"
"98",TRUE,"https://wikipedia.org/wiki/Hertie_School"
"99",TRUE,"https://wikipedia.org/wiki/UNITAR"
"100",TRUE,"https://wikipedia.org/wiki/UN_DESA"
"101",TRUE,"https://wikipedia.org/wiki/ECLAC"
"102",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"103",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"104",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"105",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"106",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America__and_the_Caribbean"
"107",TRUE,"https://wikipedia.org/wiki/National_Autonomous_University_of_Mexico"
"108",FALSE,"https://wikipedia.org/wiki/National_Institute_of_Archaeology_and_Heritage_Sciences_of_Morocco"
"109",TRUE,"https://wikipedia.org/wiki/The_University_of_Hong_Kong"
"110",FALSE,"https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators"
"111",TRUE,"https://wikipedia.org/wiki/University_of_South_Africa"
"112",FALSE,"https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators"
"113",FALSE,"https://wikipedia.org/wiki/University_of_AntwerpVrije_Universiteit_Brussel"
"114",FALSE,"https://wikipedia.org/wiki/Erigaie_Foundation"
"115",TRUE,"https://wikipedia.org/wiki/Ahmedabad_University"
"116",FALSE,"https://wikipedia.org/wiki/Belize_National_Institute_of_Culture_and_History"
"117",FALSE,"https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators"
"118",TRUE,"https://wikipedia.org/wiki/Hankuk_University_of_Foreign_Studies"
"119",TRUE,"https://wikipedia.org/wiki/University_of_Music_Franz_Liszt_Weimar"
"120",TRUE,"https://wikipedia.org/wiki/Global_Water_Partnership"
"121",FALSE,"https://wikipedia.org/wiki/GWP_TEC"
"122",TRUE,"https://wikipedia.org/wiki/Northumbria_University"
"123",TRUE,"https://wikipedia.org/wiki/UNU-CRIS"
"124",TRUE,"https://wikipedia.org/wiki/IHE_Delft"
"125",TRUE,"https://wikipedia.org/wiki/Stockholm_International_Water_Institute"
"126",FALSE,"https://wikipedia.org/wiki/Water_Matters_SA"
"127",TRUE,"https://wikipedia.org/wiki/Oregon_State_University"
"128",TRUE,"https://wikipedia.org/wiki/Global_Water_Partnership"
"129",TRUE,"https://wikipedia.org/wiki/Stockholm_International_Water_Institute"
"130",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"131",TRUE,"https://wikipedia.org/wiki/Global_Environment_Facility"
"132",FALSE,"https://wikipedia.org/wiki/High_Level_Panel_on_Water_and_Peace"
"133",TRUE,"https://wikipedia.org/wiki/University_of_Oxford"
"134",TRUE,"https://wikipedia.org/wiki/United_Nations_Environment_Programme"
"135",TRUE,"https://wikipedia.org/wiki/United_Nations_Environment_Programme"
"136",TRUE,"https://wikipedia.org/wiki/United_Nations_Environment_Programme"
"137",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"138",FALSE,"https://wikipedia.org/wiki/SDG_Academy"
"139",TRUE,"https://wikipedia.org/wiki/University_of_Oxford"
"140",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"141",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"142",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"143",TRUE,"https://wikipedia.org/wiki/World_Bank"
