"","id","exists","weblink_au","category"
"150",150,TRUE,"https://wikipedia.org/wiki/Natural_Resource_Governance_Institute",NA
"151",151,TRUE,"https://wikipedia.org/wiki/University_of_Oxford"," Public research university
Ancient university"
"152",152,TRUE,"https://wikipedia.org/wiki/Natural_Resource_Governance_Institute",NA
"153",153,TRUE,"https://wikipedia.org/wiki/Natural_Resource_Governance_Institute",NA
"154",154,TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa"," Primary Organ - Regional Branch"
"155",155,TRUE,"https://wikipedia.org/wiki/University_of_the_Philippines"," Public coeducational non-profit  research higher education institution and national university system"
"156",156,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"157",157,TRUE,"https://wikipedia.org/wiki/New_York_University"," Private research university"
"158",158,TRUE,"https://wikipedia.org/wiki/New_York_University"," Private research university"
"159",159,TRUE,"https://wikipedia.org/wiki/Harvard_University"," Private research university"
"160",160,TRUE,"https://wikipedia.org/wiki/Harvard_University"," Private research university"
"161",161,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"162",162,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"163",163,TRUE,"https://wikipedia.org/wiki/University_of_Exeter"," Public"
"164",164,TRUE,"https://wikipedia.org/wiki/Ain_Shams_University"," Public"
"165",165,TRUE,"https://wikipedia.org/wiki/Ain_Shams_University"," Public"
"166",166,TRUE,"https://wikipedia.org/wiki/Athens_University_of_Economics_and_Business"," PublicGreece University SystemHigher Education Institution"
"167",167,TRUE,"https://wikipedia.org/wiki/Kiel_University"," Public"
"168",168,TRUE,"https://wikipedia.org/wiki/Kiel_University"," Public"
"169",169,TRUE,"https://wikipedia.org/wiki/GEOMAR"," Nonprofit research organization"
"170",170,TRUE,"https://wikipedia.org/wiki/Kiel_University"," Public"
"171",171,TRUE,"https://wikipedia.org/wiki/Kiel_University"," Public"
"172",172,TRUE,"https://wikipedia.org/wiki/Kiel_University"," Public"
"173",173,TRUE,"https://wikipedia.org/wiki/Kiel_University"," Public"
"174",174,TRUE,"https://wikipedia.org/wiki/Kiel_University"," Public"
"175",175,TRUE,"https://wikipedia.org/wiki/Kiel_University"," Public"
"176",176,TRUE,"https://wikipedia.org/wiki/Kiel_University"," Public"
"177",177,TRUE,"https://wikipedia.org/wiki/Kiel_University"," Public"
"178",178,TRUE,"https://wikipedia.org/wiki/Kiel_University"," Public"
"179",179,TRUE,"https://wikipedia.org/wiki/Kiel_University"," Public"
"180",180,TRUE,"https://wikipedia.org/wiki/Kiel_University"," Public"
"181",181,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"182",182,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"183",183,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"184",184,TRUE,"https://wikipedia.org/wiki/World_Business_Council_for_Sustainable_Development",NA
"185",185,TRUE,"https://wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis"," INGO"
"186",186,TRUE,"https://wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis"," INGO"
"187",187,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"188",188,TRUE,"https://wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis"," INGO"
"189",189,TRUE,"https://wikipedia.org/wiki/World_Business_Council_for_Sustainable_Development",NA
"190",190,TRUE,"https://wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis"," INGO"
"191",191,TRUE,"https://wikipedia.org/wiki/University_of_Delaware"," Public land-grant research university"
"192",192,TRUE,"https://wikipedia.org/wiki/World_Business_Council_for_Sustainable_Development",NA
"193",193,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"194",194,TRUE,"https://wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis"," INGO"
"195",195,TRUE,"https://wikipedia.org/wiki/National_Research_University_Higher_School_of_Economics"," Public"
"196",196,TRUE,"https://wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis"," INGO"
"197",197,TRUE,"https://wikipedia.org/wiki/Monash_University"," Public research university"
"198",198,TRUE,"https://wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis"," INGO"
"199",199,TRUE,"https://wikipedia.org/wiki/National_Wildlife_Federation"," 501(c)(3) nonprofit organization[1]"
"200",200,TRUE,"https://wikipedia.org/wiki/Cities_Alliance"," Global Partnership"
"201",201,TRUE,"https://wikipedia.org/wiki/Middlesex_University"," Public research university"
"202",202,TRUE,"https://wikipedia.org/wiki/UN-Habitat"," Programme"
"203",203,TRUE,"https://wikipedia.org/wiki/University_of_Pennsylvania"," Private research university"
"204",204,TRUE,"https://wikipedia.org/wiki/Curtin_University"," Public"
"205",205,TRUE,"https://wikipedia.org/wiki/New_School"," Private research university"
"206",206,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"207",207,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"208",208,TRUE,"https://wikipedia.org/wiki/Stockholm_International_Water_Institute"," Policy Institute"
"209",209,TRUE,"https://wikipedia.org/wiki/United_Nations_Development_Programme"," Programme"
"210",210,TRUE,"https://wikipedia.org/wiki/Stockholm_International_Water_Institute"," Policy Institute"
"211",211,TRUE,"https://wikipedia.org/wiki/Stockholm_International_Water_Institute"," Policy Institute"
"212",212,TRUE,"https://wikipedia.org/wiki/UNESCO"," United Nations specialised agency"
"213",213,TRUE,"https://wikipedia.org/wiki/International_Telecommunication_Union"," United Nations specialized agency"
"214",214,TRUE,"https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network",NA
"215",215,TRUE,"https://wikipedia.org/wiki/MIT"," Private land-grant research university"
"216",216,TRUE,"https://wikipedia.org/wiki/University_of_Wollongong"," Public research university"
"217",217,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"218",218,TRUE,"https://wikipedia.org/wiki/UNESCO"," United Nations specialised agency"
"219",219,TRUE,"https://wikipedia.org/wiki/UNESCO"," United Nations specialised agency"
"220",220,TRUE,"https://wikipedia.org/wiki/Johns_Hopkins_University"," Private research university"
"221",221,TRUE,"https://wikipedia.org/wiki/Wageningen_University_&_Research"," Public university"
"222",222,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"223",223,TRUE,"https://wikipedia.org/wiki/Rothamsted_Research",NA
"224",224,TRUE,"https://wikipedia.org/wiki/Tufts_University"," Private research university"
"225",225,TRUE,"https://wikipedia.org/wiki/Cornell_University"," Private statutory[1]land-grantresearch university"
"226",226,TRUE,"https://wikipedia.org/wiki/Wageningen_University_&_Research"," Public university"
"227",227,TRUE,"https://wikipedia.org/wiki/United_Nations_Environment_Programme"," Programme"
"228",228,TRUE,"https://wikipedia.org/wiki/Environmental_Law_Institute"," 501(c)(3)"
"229",229,TRUE,"https://wikipedia.org/wiki/University_of_California_-_Irvine"," Public land-grant research university"
"230",230,TRUE,"https://wikipedia.org/wiki/Duke_University"," Private research university"
"231",231,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"232",232,TRUE,"https://wikipedia.org/wiki/KDI_School_of_Public_Policy_and_Management"," Government-run"
"233",233,TRUE,"https://wikipedia.org/wiki/SUNY"," Public university system"
"234",234,TRUE,"https://wikipedia.org/wiki/Academy_of_Korean_Studies"," National"
"235",235,TRUE,"https://wikipedia.org/wiki/Seoul_National_University"," National"
"236",236,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"237",237,TRUE,"https://wikipedia.org/wiki/Korea_University"," Private"
"238",238,TRUE,"https://wikipedia.org/wiki/KDI_School_of_Public_Policy_and_Management"," Government-run"
"239",239,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"240",240,TRUE,"https://wikipedia.org/wiki/Middlesex_University"," Public research university"
"241",241,TRUE,"https://wikipedia.org/wiki/Middlesex_University"," Public research university"
"242",242,TRUE,"https://wikipedia.org/wiki/Stockholm_Resilience_Centre"," Research institute"
"243",243,TRUE,"https://wikipedia.org/wiki/Stellenbosch_University"," Public"
"244",244,TRUE,"https://wikipedia.org/wiki/Stockholm_Resilience_Centre"," Research institute"
"245",245,TRUE,"https://wikipedia.org/wiki/Stockholm_Resilience_Centre"," Research institute"
"246",246,TRUE,"https://wikipedia.org/wiki/Stockholm_Resilience_Centre"," Research institute"
"247",247,TRUE,"https://wikipedia.org/wiki/Stockholm_University"," Public university"
"248",248,TRUE,"https://wikipedia.org/wiki/Stockholm_Resilience_Centre"," Research institute"
"249",249,TRUE,"https://wikipedia.org/wiki/Public_Health_Foundation_of_India"," Public -Private Initiative"
"250",250,TRUE,"https://wikipedia.org/wiki/Chatham_House",NA
"251",251,TRUE,"https://wikipedia.org/wiki/Harvard_University"," Private research university"
"252",252,TRUE,"https://wikipedia.org/wiki/All_India_Institutes_of_Medical_Sciences"," Public Medical University"
"253",253,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"254",254,TRUE,"https://wikipedia.org/wiki/European_Climate_Foundation"," Philanthropic initiative"
"255",255,TRUE,"https://wikipedia.org/wiki/George_Mason_University"," Public research university"
"256",256,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"257",257,TRUE,"https://wikipedia.org/wiki/United_Nations_Development_Programme"," Programme"
"258",258,TRUE,"https://wikipedia.org/wiki/Roman_Catholic_Church",NA
"259",259,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"260",260,TRUE,"https://wikipedia.org/wiki/Pontifical_Academy_of_Sciences"," Catholic"
"261",261,TRUE,"https://wikipedia.org/wiki/International_Monetary_Fund"," International financial institution"
"262",262,TRUE,"https://wikipedia.org/wiki/World_Conference_of_Religions_for_Peace"," Non-governmental organization (NGO)"
"263",263,TRUE,"https://wikipedia.org/wiki/University_of_Victoria"," Public university"
"264",264,TRUE,"https://wikipedia.org/wiki/Stockholm_Resilience_Centre"," Research institute"
