"","exists","weblink_au"
"121",TRUE,"https://wikipedia.org/wiki/Stockholm_International_Water_Institute"
"122",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"123",TRUE,"https://wikipedia.org/wiki/Global_Environment_Facility"
"125",TRUE,"https://wikipedia.org/wiki/University_of_Oxford"
"126",TRUE,"https://wikipedia.org/wiki/United_Nations_Environment_Programme"
"127",TRUE,"https://wikipedia.org/wiki/United_Nations_Environment_Programme"
"128",TRUE,"https://wikipedia.org/wiki/United_Nations_Environment_Programme"
"129",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"131",TRUE,"https://wikipedia.org/wiki/University_of_Oxford"
"132",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"133",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"134",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"135",TRUE,"https://wikipedia.org/wiki/World_Bank"
"136",TRUE,"https://wikipedia.org/wiki/London_School_of_Economics_and_Political_Science"
"137",TRUE,"https://wikipedia.org/wiki/University_of_Cape_Town"
"138",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"139",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"140",TRUE,"https://wikipedia.org/wiki/United_Nations_Development_Programme"
"141",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"142",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"143",TRUE,"https://wikipedia.org/wiki/Tulane_University"
"144",TRUE,"https://wikipedia.org/wiki/GiveDirectly"
"145",TRUE,"https://wikipedia.org/wiki/Sunway_University"
"146",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"147",TRUE,"https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network"
"148",TRUE,"https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network"
"149",TRUE,"https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network"
"150",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"151",TRUE,"https://wikipedia.org/wiki/"
"152",TRUE,"https://wikipedia.org/wiki/"
"153",TRUE,"https://wikipedia.org/wiki/"
"154",TRUE,"https://wikipedia.org/wiki/"
"155",TRUE,"https://wikipedia.org/wiki/"
"156",TRUE,"https://wikipedia.org/wiki/"
"157",TRUE,"https://wikipedia.org/wiki/"
"158",TRUE,"https://wikipedia.org/wiki/"
"159",TRUE,"https://wikipedia.org/wiki/"
"160",TRUE,"https://wikipedia.org/wiki/"
"161",TRUE,"https://wikipedia.org/wiki/Boston_College"
"162",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"163",TRUE,"https://wikipedia.org/wiki/Harvard_University"
"166",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"168",TRUE,"https://wikipedia.org/wiki/Unilever"
"169",TRUE,"https://wikipedia.org/wiki/Penn_State_University"
"171",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"172",TRUE,"https://wikipedia.org/wiki/University_of_Oxford"
"173",TRUE,"https://wikipedia.org/wiki/Natural_Resource_Governance_Institute"
"174",TRUE,"https://wikipedia.org/wiki/Columbia_University"
