"","titles","authors","au_category","piece","weblink","id.id","id.titles","id.authors","id.au_category","id.piece","id.weblink"
"83","Living Heritage and Sustainable Development","University of AntwerpVrije Universiteit Brussel","University of AntwerpVrije Universiteit Brussel","University_of_AntwerpVrije_Universiteit_Brussel","https://wikipedia.org/wiki/University_of_AntwerpVrije_Universiteit_Brussel", 83,Living Heritage and Sustainable Development,University of AntwerpVrije Universiteit Brussel,University of AntwerpVrije Universiteit Brussel,University_of_AntwerpVrije_Universiteit_Brussel,https://wikipedia.org/wiki/University_of_AntwerpVrije_Universiteit_Brussel
"84","Living Heritage and Sustainable Development","Erigaie Foundation","Erigaie Foundation","Erigaie_Foundation","https://wikipedia.org/wiki/Erigaie_Foundation", 84,Living Heritage and Sustainable Development,Erigaie Foundation,Erigaie Foundation,Erigaie_Foundation,https://wikipedia.org/wiki/Erigaie_Foundation
"85","Living Heritage and Sustainable Development","Ahmedabad University","Ahmedabad University","Ahmedabad_University","https://wikipedia.org/wiki/Ahmedabad_University", 85,Living Heritage and Sustainable Development,Ahmedabad University,Ahmedabad University,Ahmedabad_University,https://wikipedia.org/wiki/Ahmedabad_University
"86","Living Heritage and Sustainable Development","Belize National Institute of Culture and History","Belize National Institute of Culture and History","Belize_National_Institute_of_Culture_and_History","https://wikipedia.org/wiki/Belize_National_Institute_of_Culture_and_History", 86,Living Heritage and Sustainable Development,Belize National Institute of Culture and History,Belize National Institute of Culture and History,Belize_National_Institute_of_Culture_and_History,https://wikipedia.org/wiki/Belize_National_Institute_of_Culture_and_History
"87","Living Heritage and Sustainable Development","Hankuk University of Foreign Studies","Hankuk University of Foreign Studies","Hankuk_University_of_Foreign_Studies","https://wikipedia.org/wiki/Hankuk_University_of_Foreign_Studies", 87,Living Heritage and Sustainable Development,Hankuk University of Foreign Studies,Hankuk University of Foreign Studies,Hankuk_University_of_Foreign_Studies,https://wikipedia.org/wiki/Hankuk_University_of_Foreign_Studies
"88","Living Heritage and Sustainable Development","University of Music Franz Liszt Weimar","University of Music Franz Liszt Weimar","University_of_Music_Franz_Liszt_Weimar","https://wikipedia.org/wiki/University_of_Music_Franz_Liszt_Weimar", 88,Living Heritage and Sustainable Development,University of Music Franz Liszt Weimar,University of Music Franz Liszt Weimar,University_of_Music_Franz_Liszt_Weimar,https://wikipedia.org/wiki/University_of_Music_Franz_Liszt_Weimar
"89","Governance for Transboundary Freshwater Security","Global Water Partnership","Global Water Partnership","Global_Water_Partnership","https://wikipedia.org/wiki/Global_Water_Partnership", 89,Governance for Transboundary Freshwater Security,Global Water Partnership,Global Water Partnership,Global_Water_Partnership,https://wikipedia.org/wiki/Global_Water_Partnership
"90","Governance for Transboundary Freshwater Security","GWP TEC","GWP TEC","GWP_TEC","https://wikipedia.org/wiki/GWP_TEC", 90,Governance for Transboundary Freshwater Security,GWP TEC,GWP TEC,GWP_TEC,https://wikipedia.org/wiki/GWP_TEC
"91","Governance for Transboundary Freshwater Security","Northumbria University","Northumbria University","Northumbria_University","https://wikipedia.org/wiki/Northumbria_University", 91,Governance for Transboundary Freshwater Security,Northumbria University,Northumbria University,Northumbria_University,https://wikipedia.org/wiki/Northumbria_University
"92","Governance for Transboundary Freshwater Security","UNU-CRIS","UNU-CRIS","UNU-CRIS","https://wikipedia.org/wiki/UNU-CRIS", 92,Governance for Transboundary Freshwater Security,UNU-CRIS,UNU-CRIS,UNU-CRIS,https://wikipedia.org/wiki/UNU-CRIS
"93","Governance for Transboundary Freshwater Security","IHE Delft","IHE Delft","IHE_Delft","https://wikipedia.org/wiki/IHE_Delft", 93,Governance for Transboundary Freshwater Security,IHE Delft,IHE Delft,IHE_Delft,https://wikipedia.org/wiki/IHE_Delft
"94","Governance for Transboundary Freshwater Security","Stockholm International Water Institute","Stockholm International Water Institute","Stockholm_International_Water_Institute","https://wikipedia.org/wiki/Stockholm_International_Water_Institute", 94,Governance for Transboundary Freshwater Security,Stockholm International Water Institute,Stockholm International Water Institute,Stockholm_International_Water_Institute,https://wikipedia.org/wiki/Stockholm_International_Water_Institute
"95","Governance for Transboundary Freshwater Security","Water Matters SA","Water Matters SA","Water_Matters_SA","https://wikipedia.org/wiki/Water_Matters_SA", 95,Governance for Transboundary Freshwater Security,Water Matters SA,Water Matters SA,Water_Matters_SA,https://wikipedia.org/wiki/Water_Matters_SA
"96","Governance for Transboundary Freshwater Security","Oregon State University","Oregon State University","Oregon_State_University","https://wikipedia.org/wiki/Oregon_State_University", 96,Governance for Transboundary Freshwater Security,Oregon State University,Oregon State University,Oregon_State_University,https://wikipedia.org/wiki/Oregon_State_University
"97","Governance for Transboundary Freshwater Security","United Nations Economic Commission for Europe","United Nations Economic Commission for Europe","United_Nations_Economic_Commission_for_Europe","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe", 97,Governance for Transboundary Freshwater Security,United Nations Economic Commission for Europe,United Nations Economic Commission for Europe,United_Nations_Economic_Commission_for_Europe,https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe
"98","Governance for Transboundary Freshwater Security","Global Environment Facility","Global Environment Facility","Global_Environment_Facility","https://wikipedia.org/wiki/Global_Environment_Facility", 98,Governance for Transboundary Freshwater Security,Global Environment Facility,Global Environment Facility,Global_Environment_Facility,https://wikipedia.org/wiki/Global_Environment_Facility
"99","Governance for Transboundary Freshwater Security","High Level Panel on Water and Peace","High Level Panel on Water and Peace","High_Level_Panel_on_Water_and_Peace","https://wikipedia.org/wiki/High_Level_Panel_on_Water_and_Peace", 99,Governance for Transboundary Freshwater Security,High Level Panel on Water and Peace,High Level Panel on Water and Peace,High_Level_Panel_on_Water_and_Peace,https://wikipedia.org/wiki/High_Level_Panel_on_Water_and_Peace
"100","Governance for Transboundary Freshwater Security","University of Oxford","University of Oxford","University_of_Oxford","https://wikipedia.org/wiki/University_of_Oxford",100,Governance for Transboundary Freshwater Security,University of Oxford,University of Oxford,University_of_Oxford,https://wikipedia.org/wiki/University_of_Oxford
"101","Nature-based Solutions for Disaster and Climate Resilience","United Nations Environment Programme","United Nations Environment Programme","United_Nations_Environment_Programme","https://wikipedia.org/wiki/United_Nations_Environment_Programme",101,Nature-based Solutions for Disaster and Climate Resilience,United Nations Environment Programme,United Nations Environment Programme,United_Nations_Environment_Programme,https://wikipedia.org/wiki/United_Nations_Environment_Programme
"102","Understanding Poverty and Inequality","Brookings Institution","Brookings Institution","Brookings_Institution","https://wikipedia.org/wiki/Brookings_Institution",102,Understanding Poverty and Inequality,Brookings Institution,Brookings Institution,Brookings_Institution,https://wikipedia.org/wiki/Brookings_Institution
"103","Understanding Poverty and Inequality","SDG Academy","SDG Academy","SDG_Academy","https://wikipedia.org/wiki/SDG_Academy",103,Understanding Poverty and Inequality,SDG Academy,SDG Academy,SDG_Academy,https://wikipedia.org/wiki/SDG_Academy
"104","Understanding Poverty and Inequality","University of Oxford","University of Oxford","University_of_Oxford","https://wikipedia.org/wiki/University_of_Oxford",104,Understanding Poverty and Inequality,University of Oxford,University of Oxford,University_of_Oxford,https://wikipedia.org/wiki/University_of_Oxford
"105","Understanding Poverty and Inequality","World Bank","World Bank","World_Bank","https://wikipedia.org/wiki/World_Bank",105,Understanding Poverty and Inequality,World Bank,World Bank,World_Bank,https://wikipedia.org/wiki/World_Bank
"106","Understanding Poverty and Inequality","London School of Economics and Political Science","London School of Economics and Political Science","London_School_of_Economics_and_Political_Science","https://wikipedia.org/wiki/London_School_of_Economics_and_Political_Science",106,Understanding Poverty and Inequality,London School of Economics and Political Science,London School of Economics and Political Science,London_School_of_Economics_and_Political_Science,https://wikipedia.org/wiki/London_School_of_Economics_and_Political_Science
"107","Understanding Poverty and Inequality","University of Cape Town","University of Cape Town","University_of_Cape_Town","https://wikipedia.org/wiki/University_of_Cape_Town",107,Understanding Poverty and Inequality,University of Cape Town,University of Cape Town,University_of_Cape_Town,https://wikipedia.org/wiki/University_of_Cape_Town
"108","Understanding Poverty and Inequality","United Nations Development Programme","United Nations Development Programme","United_Nations_Development_Programme","https://wikipedia.org/wiki/United_Nations_Development_Programme",108,Understanding Poverty and Inequality,United Nations Development Programme,United Nations Development Programme,United_Nations_Development_Programme,https://wikipedia.org/wiki/United_Nations_Development_Programme
"109","Understanding Poverty and Inequality","Tulane University","Tulane University","Tulane_University","https://wikipedia.org/wiki/Tulane_University",109,Understanding Poverty and Inequality,Tulane University,Tulane University,Tulane_University,https://wikipedia.org/wiki/Tulane_University
"110","Understanding Poverty and Inequality","GiveDirectly","GiveDirectly","GiveDirectly","https://wikipedia.org/wiki/GiveDirectly",110,Understanding Poverty and Inequality,GiveDirectly,GiveDirectly,GiveDirectly,https://wikipedia.org/wiki/GiveDirectly
"111","Understanding Poverty and Inequality","Sunway University","Sunway University","Sunway_University","https://wikipedia.org/wiki/Sunway_University",111,Understanding Poverty and Inequality,Sunway University,Sunway University,Sunway_University,https://wikipedia.org/wiki/Sunway_University
"112","Measuring Sustainable Development","Sustainable Development Solutions Network","Sustainable Development Solutions Network","Sustainable_Development_Solutions_Network","https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network",112,Measuring Sustainable Development,Sustainable Development Solutions Network,Sustainable Development Solutions Network,Sustainable_Development_Solutions_Network,https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network
"113","Book Club with Jeffrey Sachs","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",113,Book Club with Jeffrey Sachs,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"114","Book Club with Jeffrey Sachs","","","","https://wikipedia.org/wiki/",114,Book Club with Jeffrey Sachs,,,,https://wikipedia.org/wiki/
"115","Book Club with Jeffrey Sachs","Boston College","Boston College","Boston_College","https://wikipedia.org/wiki/Boston_College",115,Book Club with Jeffrey Sachs,Boston College,Boston College,Boston_College,https://wikipedia.org/wiki/Boston_College
"116","The Turn: From Reactionary Populism to a Progressive Alternative","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",116,The Turn: From Reactionary Populism to a Progressive Alternative,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"117","The Turn: From Reactionary Populism to a Progressive Alternative","Harvard University","Harvard University","Harvard_University","https://wikipedia.org/wiki/Harvard_University",117,The Turn: From Reactionary Populism to a Progressive Alternative,Harvard University,Harvard University,Harvard_University,https://wikipedia.org/wiki/Harvard_University
"118","Conversations with Global Leaders: Leading on Sustainable Development","Former UN Secretary-General","Former UN Secretary-General","Former_UN_Secretary-General","https://wikipedia.org/wiki/Former_UN_Secretary-General",118,Conversations with Global Leaders: Leading on Sustainable Development,Former UN Secretary-General,Former UN Secretary-General,Former_UN_Secretary-General,https://wikipedia.org/wiki/Former_UN_Secretary-General
"119","Conversations with Global Leaders: Leading on Sustainable Development","Former Prime Minister of Norway","Former Prime Minister of Norway","Former_Prime_Minister_of_Norway","https://wikipedia.org/wiki/Former_Prime_Minister_of_Norway",119,Conversations with Global Leaders: Leading on Sustainable Development,Former Prime Minister of Norway,Former Prime Minister of Norway,Former_Prime_Minister_of_Norway,https://wikipedia.org/wiki/Former_Prime_Minister_of_Norway
"120","Conversations with Global Leaders: Leading on Sustainable Development","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",120,Conversations with Global Leaders: Leading on Sustainable Development,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"121","Conversations with Global Leaders: Leading on Sustainable Development","Former President of Colombia","Former President of Colombia","Former_President_of_Colombia","https://wikipedia.org/wiki/Former_President_of_Colombia",121,Conversations with Global Leaders: Leading on Sustainable Development,Former President of Colombia,Former President of Colombia,Former_President_of_Colombia,https://wikipedia.org/wiki/Former_President_of_Colombia
"122","Conversations with Global Leaders: Leading on Sustainable Development","Unilever","Unilever","Unilever","https://wikipedia.org/wiki/Unilever",122,Conversations with Global Leaders: Leading on Sustainable Development,Unilever,Unilever,Unilever,https://wikipedia.org/wiki/Unilever
"123","Climate Change: The Science and Global Impact","Penn State University","Penn State University","Penn_State_University","https://wikipedia.org/wiki/Penn_State_University",123,Climate Change: The Science and Global Impact,Penn State University,Penn State University,Penn_State_University,https://wikipedia.org/wiki/Penn_State_University
"124","Sector Extractivo: sostenibilidad y desarrollo en Am<e9>rica Latina y el Caribe","Banco Interamericano de Desarrollo","Banco Interamericano de Desarrollo","Banco_Interamericano_de_Desarrollo","https://wikipedia.org/wiki/Banco_Interamericano_de_Desarrollo",124,Sector Extractivo: sostenibilidad y desarrollo en Am<e9>rica Latina y el Caribe,Banco Interamericano de Desarrollo,Banco Interamericano de Desarrollo,Banco_Interamericano_de_Desarrollo,https://wikipedia.org/wiki/Banco_Interamericano_de_Desarrollo
"125","Sector Extractivo: sostenibilidad y desarrollo en Am<e9>rica Latina y el Caribe","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",125,Sector Extractivo: sostenibilidad y desarrollo en Am<e9>rica Latina y el Caribe,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"126","Sector Extractivo: sostenibilidad y desarrollo en Am<e9>rica Latina y el Caribe","University of Oxford","University of Oxford","University_of_Oxford","https://wikipedia.org/wiki/University_of_Oxford",126,Sector Extractivo: sostenibilidad y desarrollo en Am<e9>rica Latina y el Caribe,University of Oxford,University of Oxford,University_of_Oxford,https://wikipedia.org/wiki/University_of_Oxford
"127","Sector Extractivo: sostenibilidad y desarrollo en Am<e9>rica Latina y el Caribe","Natural Resource Governance Institute","Natural Resource Governance Institute","Natural_Resource_Governance_Institute","https://wikipedia.org/wiki/Natural_Resource_Governance_Institute",127,Sector Extractivo: sostenibilidad y desarrollo en Am<e9>rica Latina y el Caribe,Natural Resource Governance Institute,Natural Resource Governance Institute,Natural_Resource_Governance_Institute,https://wikipedia.org/wiki/Natural_Resource_Governance_Institute
"128","Work and Employment for a Sustainable Future","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",128,Work and Employment for a Sustainable Future,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"129","Work and Employment for a Sustainable Future","Kailash Satyarthi Children's Foundation","Kailash Satyarthi Children's Foundation","Kailash_Satyarthi_Children's_Foundation","https://wikipedia.org/wiki/Kailash_Satyarthi_Children's_Foundation",129,Work and Employment for a Sustainable Future,Kailash Satyarthi Children's Foundation,Kailash Satyarthi Children's Foundation,Kailash_Satyarthi_Children's_Foundation,https://wikipedia.org/wiki/Kailash_Satyarthi_Children's_Foundation
"130","Work and Employment for a Sustainable Future","International Labour Organization","International Labour Organization","International_Labour_Organization","https://wikipedia.org/wiki/International_Labour_Organization",130,Work and Employment for a Sustainable Future,International Labour Organization,International Labour Organization,International_Labour_Organization,https://wikipedia.org/wiki/International_Labour_Organization
"131","Work and Employment for a Sustainable Future","Ahmedabad University","Ahmedabad University","Ahmedabad_University","https://wikipedia.org/wiki/Ahmedabad_University",131,Work and Employment for a Sustainable Future,Ahmedabad University,Ahmedabad University,Ahmedabad_University,https://wikipedia.org/wiki/Ahmedabad_University
"132","Work and Employment for a Sustainable Future","Harvard University","Harvard University","Harvard_University","https://wikipedia.org/wiki/Harvard_University",132,Work and Employment for a Sustainable Future,Harvard University,Harvard University,Harvard_University,https://wikipedia.org/wiki/Harvard_University
"133","Work and Employment for a Sustainable Future","University of Oxford","University of Oxford","University_of_Oxford","https://wikipedia.org/wiki/University_of_Oxford",133,Work and Employment for a Sustainable Future,University of Oxford,University of Oxford,University_of_Oxford,https://wikipedia.org/wiki/University_of_Oxford
"134","Work and Employment for a Sustainable Future","University of Gothenburg","University of Gothenburg","University_of_Gothenburg","https://wikipedia.org/wiki/University_of_Gothenburg",134,Work and Employment for a Sustainable Future,University of Gothenburg,University of Gothenburg,University_of_Gothenburg,https://wikipedia.org/wiki/University_of_Gothenburg
"135","Ethics in Action","World Conference of Religions for Peace","World Conference of Religions for Peace","World_Conference_of_Religions_for_Peace","https://wikipedia.org/wiki/World_Conference_of_Religions_for_Peace",135,Ethics in Action,World Conference of Religions for Peace,World Conference of Religions for Peace,World_Conference_of_Religions_for_Peace,https://wikipedia.org/wiki/World_Conference_of_Religions_for_Peace
"136","Ethics in Action","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",136,Ethics in Action,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"137","Alianzas: un veh<ed>culo para lograr el desarrollo sostenible","Banco Interamericano de Desarrollo","Banco Interamericano de Desarrollo","Banco_Interamericano_de_Desarrollo","https://wikipedia.org/wiki/Banco_Interamericano_de_Desarrollo",137,Alianzas: un veh<ed>culo para lograr el desarrollo sostenible,Banco Interamericano de Desarrollo,Banco Interamericano de Desarrollo,Banco_Interamericano_de_Desarrollo,https://wikipedia.org/wiki/Banco_Interamericano_de_Desarrollo
"138","Alianzas: un veh<ed>culo para lograr el desarrollo sostenible","Sustainable Development Solutions Network","Sustainable Development Solutions Network","Sustainable_Development_Solutions_Network","https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network",138,Alianzas: un veh<ed>culo para lograr el desarrollo sostenible,Sustainable Development Solutions Network,Sustainable Development Solutions Network,Sustainable_Development_Solutions_Network,https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network
"139","Industrial Policy in the 21st Century: The Challenge for Africa","UNU-WIDER","UNU-WIDER","UNU-WIDER","https://wikipedia.org/wiki/UNU-WIDER",139,Industrial Policy in the 21st Century: The Challenge for Africa,UNU-WIDER,UNU-WIDER,UNU-WIDER,https://wikipedia.org/wiki/UNU-WIDER
"140","Sustainable Development: The Post-Capitalist Order","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",140,Sustainable Development: The Post-Capitalist Order,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"141","Getting a Good Deal: Negotiating Extractive Industry Contracts","Natural Resource Governance Institute (NRGI)","Natural Resource Governance Institute (NRGI)","Natural_Resource_Governance_Institute_(NRGI)","https://wikipedia.org/wiki/Natural_Resource_Governance_Institute_(NRGI)",141,Getting a Good Deal: Negotiating Extractive Industry Contracts,Natural Resource Governance Institute (NRGI),Natural Resource Governance Institute (NRGI),Natural_Resource_Governance_Institute_(NRGI),https://wikipedia.org/wiki/Natural_Resource_Governance_Institute_(NRGI)
"142","Getting a Good Deal: Negotiating Extractive Industry Contracts","the Columbia Center on Sustainable Investment (CCSI)","the Columbia Center on Sustainable Investment (CCSI)","the_Columbia_Center_on_Sustainable_Investment_(CCSI)","https://wikipedia.org/wiki/the_Columbia_Center_on_Sustainable_Investment_(CCSI)",142,Getting a Good Deal: Negotiating Extractive Industry Contracts,the Columbia Center on Sustainable Investment (CCSI),the Columbia Center on Sustainable Investment (CCSI),the_Columbia_Center_on_Sustainable_Investment_(CCSI),https://wikipedia.org/wiki/the_Columbia_Center_on_Sustainable_Investment_(CCSI)
"143","Getting a Good Deal: Negotiating Extractive Industry Contracts","the CONNEX Support Unit","the CONNEX Support Unit","the_CONNEX_Support_Unit","https://wikipedia.org/wiki/the_CONNEX_Support_Unit",143,Getting a Good Deal: Negotiating Extractive Industry Contracts,the CONNEX Support Unit,the CONNEX Support Unit,the_CONNEX_Support_Unit,https://wikipedia.org/wiki/the_CONNEX_Support_Unit
"144","Getting a Good Deal: Negotiating Extractive Industry Contracts","GIZ","GIZ","GIZ","https://wikipedia.org/wiki/GIZ",144,Getting a Good Deal: Negotiating Extractive Industry Contracts,GIZ,GIZ,GIZ,https://wikipedia.org/wiki/GIZ
"145","Getting a Good Deal: Negotiating Extractive Industry Contracts","the European Union","the European Union","the_European_Union","https://wikipedia.org/wiki/the_European_Union",145,Getting a Good Deal: Negotiating Extractive Industry Contracts,the European Union,the European Union,the_European_Union,https://wikipedia.org/wiki/the_European_Union
"146","Natural Resources for Sustainable Development","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",146,Natural Resources for Sustainable Development,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"147","Natural Resources for Sustainable Development","Natural Resource Governance Institute","Natural Resource Governance Institute","Natural_Resource_Governance_Institute","https://wikipedia.org/wiki/Natural_Resource_Governance_Institute",147,Natural Resources for Sustainable Development,Natural Resource Governance Institute,Natural Resource Governance Institute,Natural_Resource_Governance_Institute,https://wikipedia.org/wiki/Natural_Resource_Governance_Institute
"148","Natural Resources for Sustainable Development","Columbia Center on Sustainable Investment","Columbia Center on Sustainable Investment","Columbia_Center_on_Sustainable_Investment","https://wikipedia.org/wiki/Columbia_Center_on_Sustainable_Investment",148,Natural Resources for Sustainable Development,Columbia Center on Sustainable Investment,Columbia Center on Sustainable Investment,Columbia_Center_on_Sustainable_Investment,https://wikipedia.org/wiki/Columbia_Center_on_Sustainable_Investment
"149","Natural Resources for Sustainable Development","University of Oxford","University of Oxford","University_of_Oxford","https://wikipedia.org/wiki/University_of_Oxford",149,Natural Resources for Sustainable Development,University of Oxford,University of Oxford,University_of_Oxford,https://wikipedia.org/wiki/University_of_Oxford
"150","Natural Resources for Sustainable Development","Foundation for the Global Compact","Foundation for the Global Compact","Foundation_for_the_Global_Compact","https://wikipedia.org/wiki/Foundation_for_the_Global_Compact",150,Natural Resources for Sustainable Development,Foundation for the Global Compact,Foundation for the Global Compact,Foundation_for_the_Global_Compact,https://wikipedia.org/wiki/Foundation_for_the_Global_Compact
"151","Natural Resources for Sustainable Development","United Nations Economic Commission for Africa","United Nations Economic Commission for Africa","United_Nations_Economic_Commission_for_Africa","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa",151,Natural Resources for Sustainable Development,United Nations Economic Commission for Africa,United Nations Economic Commission for Africa,United_Nations_Economic_Commission_for_Africa,https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
"152","Natural Resources for Sustainable Development","Crystol Energy","Crystol Energy","Crystol_Energy","https://wikipedia.org/wiki/Crystol_Energy",152,Natural Resources for Sustainable Development,Crystol Energy,Crystol Energy,Crystol_Energy,https://wikipedia.org/wiki/Crystol_Energy
"153","Natural Resources for Sustainable Development","University of the Philippines","University of the Philippines","University_of_the_Philippines","https://wikipedia.org/wiki/University_of_the_Philippines",153,Natural Resources for Sustainable Development,University of the Philippines,University of the Philippines,University_of_the_Philippines,https://wikipedia.org/wiki/University_of_the_Philippines
"154","How to Achieve the SDGs","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",154,How to Achieve the SDGs,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"155","The Best Start in Life: Early Childhood Development for Sustainable Development","New York University","New York University","New_York_University","https://wikipedia.org/wiki/New_York_University",155,The Best Start in Life: Early Childhood Development for Sustainable Development,New York University,New York University,New_York_University,https://wikipedia.org/wiki/New_York_University
"156","The Best Start in Life: Early Childhood Development for Sustainable Development","Harvard University","Harvard University","Harvard_University","https://wikipedia.org/wiki/Harvard_University",156,The Best Start in Life: Early Childhood Development for Sustainable Development,Harvard University,Harvard University,Harvard_University,https://wikipedia.org/wiki/Harvard_University
"157","Sustainable Food Systems: A Mediterranean Perspective","Universit<U+653C><U+3E30> di Macerata","Universit<U+653C><U+3E30> di Macerata","Universit<U+653C><U+3E30>_di_Macerata","https://wikipedia.org/wiki/Universit<U+653C><U+3E30>_di_Macerata",157,Sustainable Food Systems: A Mediterranean Perspective,Universit<U+653C><U+3E30> di Macerata,Universit<U+653C><U+3E30> di Macerata,Universit<U+653C><U+3E30>_di_Macerata,https://wikipedia.org/wiki/Universit<U+653C><U+3E30>_di_Macerata
"158","Sustainable Food Systems: A Mediterranean Perspective","Gustolab International","Gustolab International","Gustolab_International","https://wikipedia.org/wiki/Gustolab_International",158,Sustainable Food Systems: A Mediterranean Perspective,Gustolab International,Gustolab International,Gustolab_International,https://wikipedia.org/wiki/Gustolab_International
"159","Sustainable Food Systems: A Mediterranean Perspective","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",159,Sustainable Food Systems: A Mediterranean Perspective,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"160","Sustainable Food Systems: A Mediterranean Perspective","University of Exeter","University of Exeter","University_of_Exeter","https://wikipedia.org/wiki/University_of_Exeter",160,Sustainable Food Systems: A Mediterranean Perspective,University of Exeter,University of Exeter,University_of_Exeter,https://wikipedia.org/wiki/University_of_Exeter
"161","Sustainable Food Systems: A Mediterranean Perspective","Health Tech","Health Tech","Health_Tech","https://wikipedia.org/wiki/Health_Tech",161,Sustainable Food Systems: A Mediterranean Perspective,Health Tech,Health Tech,Health_Tech,https://wikipedia.org/wiki/Health_Tech
"162","Sustainable Food Systems: A Mediterranean Perspective","Ain Shams University","Ain Shams University","Ain_Shams_University","https://wikipedia.org/wiki/Ain_Shams_University",162,Sustainable Food Systems: A Mediterranean Perspective,Ain Shams University,Ain Shams University,Ain_Shams_University,https://wikipedia.org/wiki/Ain_Shams_University
"163","Sustainable Food Systems: A Mediterranean Perspective","Universit<U+653C><U+3E30> degli Studi di Tuscia","Universit<U+653C><U+3E30> degli Studi di Tuscia","Universit<U+653C><U+3E30>_degli_Studi_di_Tuscia","https://wikipedia.org/wiki/Universit<U+653C><U+3E30>_degli_Studi_di_Tuscia",163,Sustainable Food Systems: A Mediterranean Perspective,Universit<U+653C><U+3E30> degli Studi di Tuscia,Universit<U+653C><U+3E30> degli Studi di Tuscia,Universit<U+653C><U+3E30>_degli_Studi_di_Tuscia,https://wikipedia.org/wiki/Universit<U+653C><U+3E30>_degli_Studi_di_Tuscia
"164","Sustainable Food Systems: A Mediterranean Perspective","Universit<U+653C><U+3E30> degli Studi di Napoli Federico II","Universit<U+653C><U+3E30> degli Studi di Napoli Federico II","Universit<U+653C><U+3E30>_degli_Studi_di_Napoli_Federico_II","https://wikipedia.org/wiki/Universit<U+653C><U+3E30>_degli_Studi_di_Napoli_Federico_II",164,Sustainable Food Systems: A Mediterranean Perspective,Universit<U+653C><U+3E30> degli Studi di Napoli Federico II,Universit<U+653C><U+3E30> degli Studi di Napoli Federico II,Universit<U+653C><U+3E30>_degli_Studi_di_Napoli_Federico_II,https://wikipedia.org/wiki/Universit<U+653C><U+3E30>_degli_Studi_di_Napoli_Federico_II
"165","Sustainable Food Systems: A Mediterranean Perspective","Water Observatory","Water Observatory","Water_Observatory","https://wikipedia.org/wiki/Water_Observatory",165,Sustainable Food Systems: A Mediterranean Perspective,Water Observatory,Water Observatory,Water_Observatory,https://wikipedia.org/wiki/Water_Observatory
"166","Sustainable Food Systems: A Mediterranean Perspective","Universit<U+653C><U+3E39> de Sousse","Universit<U+653C><U+3E39> de Sousse","Universit<U+653C><U+3E39>_de_Sousse","https://wikipedia.org/wiki/Universit<U+653C><U+3E39>_de_Sousse",166,Sustainable Food Systems: A Mediterranean Perspective,Universit<U+653C><U+3E39> de Sousse,Universit<U+653C><U+3E39> de Sousse,Universit<U+653C><U+3E39>_de_Sousse,https://wikipedia.org/wiki/Universit<U+653C><U+3E39>_de_Sousse
"167","Sustainable Food Systems: A Mediterranean Perspective","Athens University of Economics and Business","Athens University of Economics and Business","Athens_University_of_Economics_and_Business","https://wikipedia.org/wiki/Athens_University_of_Economics_and_Business",167,Sustainable Food Systems: A Mediterranean Perspective,Athens University of Economics and Business,Athens University of Economics and Business,Athens_University_of_Economics_and_Business,https://wikipedia.org/wiki/Athens_University_of_Economics_and_Business
