"","titles","authors","au_category","piece","weblink","id.id","id.titles","id.authors","id.au_category","id.piece","id.weblink"
"20","The Sustainable Development Goals <U+0096> A global, transdisciplinary vision for the future","University of Copenhagen","University of Copenhagen","University_of_Copenhagen","https://wikipedia.org/wiki/University_of_Copenhagen", 20,The Sustainable Development Goals <U+0096> A global, transdisciplinary vision for the future,University of Copenhagen,University of Copenhagen,University_of_Copenhagen,https://wikipedia.org/wiki/University_of_Copenhagen
"21","The Age of Sustainable Development","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University", 21,The Age of Sustainable Development,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"22","Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development","University of Michigan","University of Michigan","University_of_Michigan","https://wikipedia.org/wiki/University_of_Michigan", 22,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,University of Michigan,University_of_Michigan,https://wikipedia.org/wiki/University_of_Michigan
"23","Sustainable Business: Big Issues, Big Changes","University of Colorado System","University of Colorado System","University_of_Colorado_System","https://wikipedia.org/wiki/University_of_Colorado_System", 23,Sustainable Business: Big Issues, Big Changes,University of Colorado System,University of Colorado System,University_of_Colorado_System,https://wikipedia.org/wiki/University_of_Colorado_System
"24",NA,NA,NA,NA,"https://wikipedia.org/wiki/NA", 24,NA,NA,NA,NA,https://wikipedia.org/wiki/NA
"25","Environmental Management & Ethics","Technical University of Denmark (DTU)","Technical University of Denmark (DTU)","Technical_University_of_Denmark_(DTU)","https://wikipedia.org/wiki/Technical_University_of_Denmark_(DTU)", 25,Environmental Management & Ethics,Technical University of Denmark (DTU),Technical University of Denmark (DTU),Technical_University_of_Denmark_(DTU),https://wikipedia.org/wiki/Technical_University_of_Denmark_(DTU)
"26","From Climate Science to Action","The World Bank Group","The World Bank Group","The_World_Bank_Group","https://wikipedia.org/wiki/The_World_Bank_Group", 26,From Climate Science to Action,The World Bank Group,The World Bank Group,The_World_Bank_Group,https://wikipedia.org/wiki/The_World_Bank_Group
"27","Act on Climate: Steps to Individual, Community, and Political Action","University of Michigan","University of Michigan","University_of_Michigan","https://wikipedia.org/wiki/University_of_Michigan", 27,Act on Climate: Steps to Individual, Community, and Political Action,University of Michigan,University of Michigan,University_of_Michigan,https://wikipedia.org/wiki/University_of_Michigan
"28","Global Environmental Management","Technical University of Denmark (DTU)","Technical University of Denmark (DTU)","Technical_University_of_Denmark_(DTU)","https://wikipedia.org/wiki/Technical_University_of_Denmark_(DTU)", 28,Global Environmental Management,Technical University of Denmark (DTU),Technical University of Denmark (DTU),Technical_University_of_Denmark_(DTU),https://wikipedia.org/wiki/Technical_University_of_Denmark_(DTU)
"29","Global Energy and Climate Policy","University of London","University of London","University_of_London","https://wikipedia.org/wiki/University_of_London", 29,Global Energy and Climate Policy,University of London,University of London,University_of_London,https://wikipedia.org/wiki/University_of_London
