"","weblink","titles","authors","au_category","piece","category","id","un_programs","un_specialized_agencies","un","ngo"
"251","https://wikipedia.org/wiki/EkStep","Tech for Good: The Role of ICT in Achieving the SDGs","EkStep","EkStep","EkStep","ngo",251,0,0,0,1
"252","https://wikipedia.org/wiki/Erigaie_Foundation","Living Heritage and Sustainable Development","Erigaie Foundation","Erigaie Foundation","Erigaie_Foundation","ngo",252,0,0,0,1
"253","https://wikipedia.org/wiki/eThekwini_Municipality_(South_Africa)","Sustainable Cities","eThekwini Municipality (South Africa)","eThekwini Municipality (South Africa)","eThekwini_Municipality_(South_Africa)","government",253,0,0,0,0
"254","https://wikipedia.org/wiki/Evolved_Energy_Research","Climate Action: Solutions for a Changing Planet","Evolved Energy Research","Evolved Energy Research","Evolved_Energy_Research","research  policy institutes",254,0,0,0,0
"255","https://wikipedia.org/wiki/FAS_-_Funda<U+653C><U+3E37><U+653C><U+3E33>o_Amazonas_Sustent<U+653C><U+3E31>vel<U+613C><U+3E30>_(Amazonas_Sustainable_Foundation)",NA,NA,NA,NA,"ngo",255,0,0,0,1
"256","https://wikipedia.org/wiki/Federal_Government_of_Chile","Macroeconomics for a Sustainable Planet","Federal Government of Chile","Federal Government of Chile","Federal_Government_of_Chile","government",256,0,0,0,0
"257","https://wikipedia.org/wiki/Federal_Government_of_the_United_States_of_America","Climate Action: Solutions for a Changing Planet","Federal Government of the United States of America","Federal Government of the United States of America","Federal_Government_of_the_United_States_of_America","government",257,0,0,0,0
"258","https://wikipedia.org/wiki/Former_President_of_Colombia","Conversations with Global Leaders: Leading on Sustainable Development","Former President of Colombia","Former President of Colombia","Former_President_of_Colombia","government",258,0,0,0,0
"259","https://wikipedia.org/wiki/Former_Prime_Minister_of_Norway","Conversations with Global Leaders: Leading on Sustainable Development","Former Prime Minister of Norway","Former Prime Minister of Norway","Former_Prime_Minister_of_Norway","government",259,0,0,0,0
"260","https://wikipedia.org/wiki/Former_UN_Secretary-General","Conversations with Global Leaders: Leading on Sustainable Development","Former UN Secretary-General","Former UN Secretary-General","Former_UN_Secretary-General","un",260,0,0,0,0
"261","https://wikipedia.org/wiki/Foundation_for_the_Global_Compact","Natural Resources for Sustainable Development","Foundation for the Global Compact","Foundation for the Global Compact","Foundation_for_the_Global_Compact","ngo",261,0,0,0,1
"262","https://wikipedia.org/wiki/Funda<U+653C><U+3E37><U+653C><U+3E33>o_Getulio_Vargas",NA,NA,NA,NA,"research  policy institutes",262,0,0,0,0
"263","https://wikipedia.org/wiki/Global_Resilience_Partnership","Water: Addressing the Global Crisis","Global Resilience Partnership","Global Resilience Partnership","Global_Resilience_Partnership","ngo",263,0,0,0,1
"264","https://wikipedia.org/wiki/Gustolab_International","Sustainable Food Systems: A Mediterranean Perspective","Gustolab International","Gustolab International","Gustolab_International","private university",264,0,0,0,0
"265","https://wikipedia.org/wiki/GWP_TEC","Governance for Transboundary Freshwater Security","GWP TEC","GWP TEC","GWP_TEC","research  policy institutes",265,0,0,0,0
"266","https://wikipedia.org/wiki/Health_Tech","Sustainable Food Systems: A Mediterranean Perspective","Health Tech","Health Tech","Health_Tech","research  policy institutes",266,0,0,0,0
"267","https://wikipedia.org/wiki/High_Level_Panel_on_Water_and_Peace","Governance for Transboundary Freshwater Security","High Level Panel on Water and Peace","High Level Panel on Water and Peace","High_Level_Panel_on_Water_and_Peace","research  policy institutes",267,0,0,0,0
"268","https://wikipedia.org/wiki/Indian_Institute_for_Human_Settlements","Sustainable Cities","Indian Institute for Human Settlements","Indian Institute for Human Settlements","Indian_Institute_for_Human_Settlements","public university",268,0,0,0,0
"269","https://wikipedia.org/wiki/Institute_for_Housing_and_Urban_Development","Planning for Climate Change in African Cities","Institute for Housing and Urban Development","Institute for Housing and Urban Development","Institute_for_Housing_and_Urban_Development","public university",269,0,0,0,0
"270","https://wikipedia.org/wiki/Institute_for_Sustainable_Development_and_International_Relations","Climate Action: Solutions for a Changing Planet","Institute for Sustainable Development and International Relations","Institute for Sustainable Development and International Relations","Institute_for_Sustainable_Development_and_International_Relations","research  policy institutes",270,0,0,0,0
"271","https://wikipedia.org/wiki/International_Fertilizer_Association","Feeding a Hungry Planet","International Fertilizer Association","International Fertilizer Association","International_Fertilizer_Association","business",271,0,0,0,0
"272","https://wikipedia.org/wiki/International_Institute_for_Environmental_Development","Sustainable Cities","International Institute for Environmental Development","International Institute for Environmental Development","International_Institute_for_Environmental_Development","research  policy institutes",272,0,0,0,0
"273","https://wikipedia.org/wiki/International_Ocean_Institute","One Planet, One Ocean","International Ocean Institute","International Ocean Institute","International_Ocean_Institute","ngo",273,0,0,0,1
"274","https://wikipedia.org/wiki/Kailash_Satyarthi_Children's_Foundation","Work and Employment for a Sustainable Future","Kailash Satyarthi Children's Foundation","Kailash Satyarthi Children's Foundation","Kailash_Satyarthi_Children's_Foundation","ngo",274,0,0,0,1
"275","https://wikipedia.org/wiki/Korea_Transport_Institute_(KOTI)","The Korean Story: Secrets of an Economic Miracle","Korea Transport Institute (KOTI)","Korea Transport Institute (KOTI)","Korea_Transport_Institute_(KOTI)","government",275,0,0,0,0
"276","https://wikipedia.org/wiki/Korea_Women's_Development_Institute","The Korean Story: Secrets of an Economic Miracle","Korea Women's Development Institute","Korea Women's Development Institute","Korea_Women's_Development_Institute","government",276,0,0,0,0
"277","https://wikipedia.org/wiki/LKYSPP","Policy Coherence for Sustainable Development","LKYSPP","LKYSPP","LKYSPP","private university",277,0,0,0,0
"278","https://wikipedia.org/wiki/LKYSPP","Policy Coherence for Sustainable Development","LKYSPP","LKYSPP","LKYSPP","private university",278,0,0,0,0
"279","https://wikipedia.org/wiki/LKYSPP","Policy Coherence for Sustainable Development","LKYSPP","LKYSPP","LKYSPP","private university",279,0,0,0,0
"280","https://wikipedia.org/wiki/LKYSPP","Policy Coherence for Sustainable Development","LKYSPP","LKYSPP","LKYSPP","private university",280,0,0,0,0
"281","https://wikipedia.org/wiki/LKYSPP","Policy Coherence for Sustainable Development","LKYSPP","LKYSPP","LKYSPP","private university",281,0,0,0,0
"282","https://wikipedia.org/wiki/LKYSPP","Policy Coherence for Sustainable Development","LKYSPP","LKYSPP","LKYSPP","private university",282,0,0,0,0
"283","https://wikipedia.org/wiki/Millennium_Promise_Alliance","Tech for Good: The Role of ICT in Achieving the SDGs","Millennium Promise Alliance","Millennium Promise Alliance","Millennium_Promise_Alliance","ngo",283,0,0,0,1
"284","https://wikipedia.org/wiki/National_Institute_of_Archaeology_and_Heritage_Sciences_of_Morocco","Living Heritage and Sustainable Development","National Institute of Archaeology and Heritage Sciences of Morocco","National Institute of Archaeology and Heritage Sciences of Morocco","National_Institute_of_Archaeology_and_Heritage_Sciences_of_Morocco","public university",284,0,0,0,0
"285","https://wikipedia.org/wiki/Natural_Resource_Governance_Institute_(NRGI)","Getting a Good Deal: Negotiating Extractive Industry Contracts","Natural Resource Governance Institute (NRGI)","Natural Resource Governance Institute (NRGI)","Natural_Resource_Governance_Institute_(NRGI)","ngo",285,0,0,0,1
"286","https://wikipedia.org/wiki/OECD_PCSD","Policy Coherence for Sustainable Development","OECD_PCSD","OECD_PCSD","OECD_PCSD","intergovernmental organization",286,0,0,0,0
"287","https://wikipedia.org/wiki/OECD_PCSD","Policy Coherence for Sustainable Development","OECD_PCSD","OECD_PCSD","OECD_PCSD","intergovernmental organization",287,0,0,0,0
"288","https://wikipedia.org/wiki/OECD_PCSD","Policy Coherence for Sustainable Development","OECD_PCSD","OECD_PCSD","OECD_PCSD","intergovernmental organization",288,0,0,0,0
"289","https://wikipedia.org/wiki/OECD_PCSD","Policy Coherence for Sustainable Development","OECD_PCSD","OECD_PCSD","OECD_PCSD","intergovernmental organization",289,0,0,0,0
"290","https://wikipedia.org/wiki/OECD_PCSD","Policy Coherence for Sustainable Development","OECD_PCSD","OECD_PCSD","OECD_PCSD","intergovernmental organization",290,0,0,0,0
"291","https://wikipedia.org/wiki/OECD_PCSD","Policy Coherence for Sustainable Development","OECD_PCSD","OECD_PCSD","OECD_PCSD","intergovernmental organization",291,0,0,0,0
"292","https://wikipedia.org/wiki/Office_of_the_President_of_Uruguay","Tech for Good: The Role of ICT in Achieving the SDGs","Office of the President of Uruguay","Office of the President of Uruguay","Office_of_the_President_of_Uruguay","government",292,0,0,0,0
"293","https://wikipedia.org/wiki/SDG_Academy","How to Achieve the SDGs","SDG Academy","SDG Academy","SDG_Academy","un ngo",293,0,0,0,1
"294","https://wikipedia.org/wiki/SDG_Academy","How to Achieve the SDGs","SDG Academy","SDG Academy","SDG_Academy","un ngo",294,0,0,0,1
"295","https://wikipedia.org/wiki/SDG_Academy","How to Achieve the SDGs","SDG Academy","SDG Academy","SDG_Academy","un ngo",295,0,0,0,1
"296","https://wikipedia.org/wiki/SDG_Academy","How to Achieve the SDGs","SDG Academy","SDG Academy","SDG_Academy","un ngo",296,0,0,0,1
"297","https://wikipedia.org/wiki/SDG_Academy","How to Achieve the SDGs","SDG Academy","SDG Academy","SDG_Academy","un ngo",297,0,0,0,1
"298","https://wikipedia.org/wiki/SDG_Academy","How to Achieve the SDGs","SDG Academy","SDG Academy","SDG_Academy","un ngo",298,0,0,0,1
"299","https://wikipedia.org/wiki/SDG_Academy","Understanding Poverty and Inequality","SDG Academy","SDG Academy","SDG_Academy","un ngo",299,0,0,0,1
"300","https://wikipedia.org/wiki/SDG_Academy","Understanding Poverty and Inequality","SDG Academy","SDG Academy","SDG_Academy","un ngo",300,0,0,0,1
"301","https://wikipedia.org/wiki/SDG_Academy","Understanding Poverty and Inequality","SDG Academy","SDG Academy","SDG_Academy","un ngo",301,0,0,0,1
"302","https://wikipedia.org/wiki/SDG_Lab","SDG Lab Toolkit","SDG Lab","SDG Lab","SDG_Lab","un",302,0,0,0,0
"303","https://wikipedia.org/wiki/SDG_Lab","SDG Lab Toolkit","SDG Lab","SDG Lab","SDG_Lab","un",303,0,0,0,0
"304","https://wikipedia.org/wiki/SDG_Lab","SDG Lab Toolkit","SDG Lab","SDG Lab","SDG_Lab","un",304,0,0,0,0
"305","https://wikipedia.org/wiki/SDG_Lab","SDG Lab Toolkit","SDG Lab","SDG Lab","SDG_Lab","un",305,0,0,0,0
"306","https://wikipedia.org/wiki/SDSN","SDG Primer","SDSN","SDSN","SDSN","ngo",306,0,0,0,1
"307","https://wikipedia.org/wiki/SDSN","SDG Primer","SDSN","SDSN","SDSN","ngo",307,0,0,0,1
"308","https://wikipedia.org/wiki/SDSN","SDG Primer","SDSN","SDSN","SDSN","ngo",308,0,0,0,1
"309","https://wikipedia.org/wiki/SDSN","SDG Primer","SDSN","SDSN","SDSN","ngo",309,0,0,0,1
"310","https://wikipedia.org/wiki/Slum/Shack_Dwellers_International","Sustainable Cities","Slum/Shack Dwellers International","Slum/Shack Dwellers International","Slum/Shack_Dwellers_International","ngo",310,0,0,0,1
"311","https://wikipedia.org/wiki/Statistical_Institute_for_Asia_and_the_Pacific","Integrated Economic Statistics to support 2008 SNA implementation","Statistical Institute for Asia and the Pacific","Statistical Institute for Asia and the Pacific","Statistical_Institute_for_Asia_and_the_Pacific","un",311,0,0,0,0
"312","https://wikipedia.org/wiki/Statistical_Institute_for_Asia_and_the_Pacific","Integrated Economic Statistics to support 2008 SNA implementation","Statistical Institute for Asia and the Pacific","Statistical Institute for Asia and the Pacific","Statistical_Institute_for_Asia_and_the_Pacific","un",312,0,0,0,0
"313","https://wikipedia.org/wiki/Statistical_Institute_for_Asia_and_the_Pacific","Integrated Economic Statistics to support 2008 SNA implementation","Statistical Institute for Asia and the Pacific","Statistical Institute for Asia and the Pacific","Statistical_Institute_for_Asia_and_the_Pacific","un",313,0,0,0,0
"314","https://wikipedia.org/wiki/Statistical_Institute_for_Asia_and_the_Pacific","Integrated Economic Statistics to support 2008 SNA implementation","Statistical Institute for Asia and the Pacific","Statistical Institute for Asia and the Pacific","Statistical_Institute_for_Asia_and_the_Pacific","un",314,0,0,0,0
"315","https://wikipedia.org/wiki/the_Columbia_Center_on_Sustainable_Investment_(CCSI)","Getting a Good Deal: Negotiating Extractive Industry Contracts","the Columbia Center on Sustainable Investment (CCSI)","the Columbia Center on Sustainable Investment (CCSI)","the_Columbia_Center_on_Sustainable_Investment_(CCSI)","private university",315,0,0,0,0
"316","https://wikipedia.org/wiki/the_CONNEX_Support_Unit","Getting a Good Deal: Negotiating Extractive Industry Contracts","the CONNEX Support Unit","the CONNEX Support Unit","the_CONNEX_Support_Unit","research  policy institutes",316,0,0,0,0
"317","https://wikipedia.org/wiki/UN_Statistics_Division","Tech for Good: The Role of ICT in Achieving the SDGs","UN Statistics Division","UN Statistics Division","UN_Statistics_Division","un",317,0,0,0,0
"318","https://wikipedia.org/wiki/UNDCO","SDG Primer","UNDCO","UNDCO","UNDCO","un",318,0,0,1,0
"319","https://wikipedia.org/wiki/UNDCO","SDG Primer","UNDCO","UNDCO","UNDCO","un",319,0,0,1,0
"320","https://wikipedia.org/wiki/UNDCO","SDG Primer","UNDCO","UNDCO","UNDCO","un",320,0,0,1,0
"321","https://wikipedia.org/wiki/UNDCO","SDG Primer","UNDCO","UNDCO","UNDCO","un",321,0,0,1,0
"322","https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators","Living Heritage and Sustainable Development","UNESCO Global Network of Facilitators","UNESCO Global Network of Facilitators","UNESCO_Global_Network_of_Facilitators","un specialized agency",322,0,1,0,0
"323","https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators","Living Heritage and Sustainable Development","UNESCO Global Network of Facilitators","UNESCO Global Network of Facilitators","UNESCO_Global_Network_of_Facilitators","un specialized agency",323,0,1,0,0
"324","https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators","Living Heritage and Sustainable Development","UNESCO Global Network of Facilitators","UNESCO Global Network of Facilitators","UNESCO_Global_Network_of_Facilitators","un specialized agency",324,0,1,0,0
"325","https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators","Living Heritage and Sustainable Development","UNESCO Global Network of Facilitators","UNESCO Global Network of Facilitators","UNESCO_Global_Network_of_Facilitators","un specialized agency",325,0,1,0,0
"326","https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators","Living Heritage and Sustainable Development","UNESCO Global Network of Facilitators","UNESCO Global Network of Facilitators","UNESCO_Global_Network_of_Facilitators","un specialized agency",326,0,1,0,0
"327","https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators","Living Heritage and Sustainable Development","UNESCO Global Network of Facilitators","UNESCO Global Network of Facilitators","UNESCO_Global_Network_of_Facilitators","un specialized agency",327,0,1,0,0
"328","https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators","Living Heritage and Sustainable Development","UNESCO Global Network of Facilitators","UNESCO Global Network of Facilitators","UNESCO_Global_Network_of_Facilitators","un specialized agency",328,0,1,0,0
"329","https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators","Living Heritage and Sustainable Development","UNESCO Global Network of Facilitators","UNESCO Global Network of Facilitators","UNESCO_Global_Network_of_Facilitators","un specialized agency",329,0,1,0,0
"330","https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators","Living Heritage and Sustainable Development","UNESCO Global Network of Facilitators","UNESCO Global Network of Facilitators","UNESCO_Global_Network_of_Facilitators","un specialized agency",330,0,1,0,0
"331","https://wikipedia.org/wiki/UNESCO_Information_for_All_Programme","Tech for Good: The Role of ICT in Achieving the SDGs","UNESCO Information for All Programme","UNESCO Information for All Programme","UNESCO_Information_for_All_Programme","un specialized agency",331,0,1,0,0
"332","https://wikipedia.org/wiki/UNESCO_World_Water_Assessment_Programme_(WWAP)","Water: Addressing the Global Crisis","UNESCO World Water Assessment Programme (WWAP)","UNESCO World Water Assessment Programme (WWAP)","UNESCO_World_Water_Assessment_Programme_(WWAP)","un specialized agency",332,0,1,0,0
"333","https://wikipedia.org/wiki/UNESCO_World_Water_Assessment_Programme_(WWAP)","Water: Addressing the Global Crisis","UNESCO World Water Assessment Programme (WWAP)","UNESCO World Water Assessment Programme (WWAP)","UNESCO_World_Water_Assessment_Programme_(WWAP)","un specialized agency",333,0,1,0,0
"334","https://wikipedia.org/wiki/UNESCO_World_Water_Assessment_Programme_(WWAP)","Water: Addressing the Global Crisis","UNESCO World Water Assessment Programme (WWAP)","UNESCO World Water Assessment Programme (WWAP)","UNESCO_World_Water_Assessment_Programme_(WWAP)","un specialized agency",334,0,1,0,0
"335","https://wikipedia.org/wiki/UNESCO_World_Water_Assessment_Programme_(WWAP)","Water: Addressing the Global Crisis","UNESCO World Water Assessment Programme (WWAP)","UNESCO World Water Assessment Programme (WWAP)","UNESCO_World_Water_Assessment_Programme_(WWAP)","un specialized agency",335,0,1,0,0
"336","https://wikipedia.org/wiki/UNGCA","Three Steps to Integrating the Global Goals into Corporate Reporting","UNGCA","UNGCA","UNGCA","un",336,0,0,1,0
"337","https://wikipedia.org/wiki/UNGCA","Three Steps to Integrating the Global Goals into Corporate Reporting","UNGCA","UNGCA","UNGCA","un",337,0,0,1,0
"338","https://wikipedia.org/wiki/United_Cities_and_Local_Governments_of_Africa","Planning for Climate Change in African Cities","United Cities and Local Governments of Africa","United Cities and Local Governments of Africa","United_Cities_and_Local_Governments_of_Africa","government",338,0,0,0,0
"339","https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy","In Practice: Aligning Your Business with the Global Goals","United Nations Global Compact Academy","United Nations Global Compact Academy","United_Nations_Global_Compact_Academy","un",339,0,0,0,0
"340","https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy","In Practice: Aligning Your Business with the Global Goals","United Nations Global Compact Academy","United Nations Global Compact Academy","United_Nations_Global_Compact_Academy","un",340,0,0,0,0
"341","https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy","In Practice: Aligning Your Business with the Global Goals","United Nations Global Compact Academy","United Nations Global Compact Academy","United_Nations_Global_Compact_Academy","un",341,0,0,0,0
"342","https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy","In Practice: Aligning Your Business with the Global Goals","United Nations Global Compact Academy","United Nations Global Compact Academy","United_Nations_Global_Compact_Academy","un",342,0,0,0,0
"343","https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy","How to Align Your Business Strategy with the Global Goals","United Nations Global Compact Academy","United Nations Global Compact Academy","United_Nations_Global_Compact_Academy","un",343,0,0,0,0
"344","https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy","How to Align Your Business Strategy with the Global Goals","United Nations Global Compact Academy","United Nations Global Compact Academy","United_Nations_Global_Compact_Academy","un",344,0,0,0,0
"345","https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy","How to Align Your Business Strategy with the Global Goals","United Nations Global Compact Academy","United Nations Global Compact Academy","United_Nations_Global_Compact_Academy","un",345,0,0,0,0
"346","https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy","How to Align Your Business Strategy with the Global Goals","United Nations Global Compact Academy","United Nations Global Compact Academy","United_Nations_Global_Compact_Academy","un",346,0,0,0,0
"347","https://wikipedia.org/wiki/United_Technologies_Research_Center","Climate Action: Solutions for a Changing Planet","United Technologies Research Center","United Technologies Research Center","United_Technologies_Research_Center","research  policy institutes",347,0,0,0,0
"348","https://wikipedia.org/wiki/Universidade_Estadual_do_Rio_de_Janeiro_(Federal_Rural_University_of_Rio_de_Janeiro)","From the Ground Up: Managing our Terrestrial Ecosystems","Universidade Estadual do Rio de Janeiro (Federal Rural University of Rio de Janeiro)","Universidade Estadual do Rio de Janeiro (Federal Rural University of Rio de Janeiro)","Universidade_Estadual_do_Rio_de_Janeiro_(Federal_Rural_University_of_Rio_de_Janeiro)","public university",348,0,0,0,0
"349","https://wikipedia.org/wiki/Universit<U+653C><U+3E30>_degli_Studi_di_Napoli_Federico_II",NA,NA,NA,NA,"public university",349,0,0,0,0
"350","https://wikipedia.org/wiki/Universit<U+653C><U+3E30>_degli_Studi_di_Siena",NA,NA,NA,NA,"public university",350,0,0,0,0
"351","https://wikipedia.org/wiki/Universit<U+653C><U+3E30>_degli_Studi_di_Tuscia",NA,NA,NA,NA,"public university",351,0,0,0,0
"352","https://wikipedia.org/wiki/Universit<U+653C><U+3E30>_di_Macerata",NA,NA,NA,NA,"public university",352,0,0,0,0
"353","https://wikipedia.org/wiki/Universit<U+653C><U+3E39>_de_Sousse",NA,NA,NA,NA,"public university",353,0,0,0,0
"354","https://wikipedia.org/wiki/University_of_AntwerpVrije_Universiteit_Brussel","Living Heritage and Sustainable Development","University of AntwerpVrije Universiteit Brussel","University of AntwerpVrije Universiteit Brussel","University_of_AntwerpVrije_Universiteit_Brussel","public university",354,0,0,0,0
"355","https://wikipedia.org/wiki/University_of_California_-_San_Francisco","Climate Action: Solutions for a Changing Planet","University of California - San Francisco","University of California - San Francisco","University_of_California_-_San_Francisco","public university",355,0,0,0,0
"356","https://wikipedia.org/wiki/Water_Matters_SA","Governance for Transboundary Freshwater Security","Water Matters SA","Water Matters SA","Water_Matters_SA","business",356,0,0,0,0
"357","https://wikipedia.org/wiki/Water_Observatory","Sustainable Food Systems: A Mediterranean Perspective","Water Observatory","Water Observatory","Water_Observatory","ngo",357,0,0,0,1
